State,Park,Recreation Visitors,Percent Change,ConcessionerLodgingOvernights,ConcessionerLodgingOvernightsPercentChange,ConcessionerCampingOvernights,ConcessionerCampingOvernightsPercentChange,TentOvernights,TentOvernightPercentChange,RecreationVehicleOvernights,RecreationVehicleOvernightsPercentChange,BackcountryOvernights,BackcountryOvernightsPercentChange
Maine,Acadia National Park,3437286,-0.0283,0,,1090,-0.2009,140985,-0.0260,57696,-0.0089,1284,-0.1277
Michigan,Isle Royale National Park,26410,0.0237,12308,0.2872,172,-0.2110,4902,-0.0524,0,,26899,0.0865
Minnesota,Voyageurs National Park,232974,-0.0279,3727,-0.0003,0,,0,,0,,45262,-0.2393
Missouri,Gateway Arch National Park,2055309,0.0194,0,,0,,0,,0,,0,
Montana,Glacier National Park,3049839,0.0285,119960,0.1195,0,,118181,0.0694,126099,0.1509,34759,0.0745
Montana,Yellowstone National Park,2050346,-0.0230,0,,0,,0,,0,,5734,-0.0894
Nevada,Great Basin National Park,131802,-0.1391,0,,0,,20735,-0.3670,17813,-0.0793,48,-0.8286
New Mexico,Carlsbad Caverns National Park,440691,-0.0541,0,,0,,0,,0,,225,0.2228
New Mexico,White Sands National Park,608785,0.0096,0,,0,,0,,0,,4243,0.0286
North Carolina,Great Smoky Mountains National Park,5521007,0.0986,0,,0,,49925,-0.0496,36817,-0.0463,41611,-0.0309
North Dakota,Theodore Roosevelt National Park,691658,-0.0770,0,,0,,16862,0.1465,20524,0.1255,735,0.1971
Ohio,Cuyahoga Valley National Park,2237997,0.0677,7777,-0.0964,0,,0,,0,,0,
Oregon,Crater Lake National Park,704512,-0.0224,34616,-0.0009,12478,-0.7032,4694,-0.3035,0,,2436,-0.0573
South Carolina,Congaree National Park,159445,0.0926,0,,0,,0,,0,,881,-0.1388
South Dakota,Badlands National Park,970998,-0.0376,7092,-0.2435,19820,0.4331,3490,0.1952,930,0.1954,2493,-0.1480
South Dakota,Wind Cave National Park,615350,-0.0625,0,,0,,3632,-0.1618,3715,-0.1078,369,-0.1556
Tennessee,Great Smoky Mountains National Park,7026734,0.0986,10955,-0.0186,0,,105483,0.0587,76723,0.0224,52958,-0.0310
Texas,Big Bend National Park,463832,0.0539,49227,0.0242,12618,-0.0338,54402,-0.0262,28845,-0.1314,23320,-0.0226
Texas,Guadalupe Mountains National Park,188833,0.0957,0,,0,,10621,-0.0067,6383,-0.0084,2838,-0.1912
Utah,"Arches National Park National Park
",1659702,-0.0023,0,,0,,17523,-0.0231,16290,0.0082,405,0.1005
Utah,Bryce Canyon National Park,2594904,-0.0316,52566,0.0169,0,,30080,-0.3953,23653,-0.2014,1394,-0.4645
Utah,Canyonlands National Park,733996,-0.0074,0,,0,,9135,-0.3091,7785,-0.2598,77695,-0.0087
Utah,Capitol Reef National Park,1226519,-0.0009,0,,0,,25665,0.0340,23993,-0.1161,4010,-0.0094
Utah,Zion National Park,4488268,0.0389,82640,-0.0456,0,,118290,-0.1105,78704,0.0929,18320,-0.2022
Virgin Islands,Virgin Islands National Park,133398,0.1880,0,,0,,0,,0,,0,
Virginia,Shenandoah National Park,1425507,0.1270,95395,-0.1217,0,,119649,0.0852,59820,0.1409,32391,-0.1898
Washington,Mount Rainier National Park,1501621,-0.0111,35243,0.5634,0,,83353,-0.0035,30408,-0.0070,47703,-0.2580
Washington,North Cascades National Park,38208,0.2700,0,,0,,0,,0,,27581,0.0329
Washington,Olympic National Park,3245806,0.0455,76220,0.0592,28645,1.5526,134569,-0.1703,73701,-0.0482,96864,-0.2440
Wyoming,Grand Teton National Park,3405614,-0.0245,214935,1.4763,312155,-0.0249,0,,0,,36292,-0.0647
Wyoming,Yellowstone National Park,1969940,-0.0230,653635,0.0327,474653,-0.2296,81022,-0.0851,80294,0.0739,32502,-0.0891
Alaska,Denali  National Park,601152,0.0109,0,,26382,-0.0437,0,,0,,26211,0.1037
Alaska,Gates of the Arctic  National Park,10518,0.0967,0,,0,,0,,0,,4058,-0.4633
Alaska,Glacier Bay  National Park,672087,0.1241,14408,0.1549,0,,744,-0.0498,0,,4211,-0.2789
Alaska,Katmai  National Park,84167,1.2256,4268,0.0123,0,,2560,0.2202,0,,458,-0.0518
Alaska,Lake Clark  National Park,17157,0.1850,0,,0,,0,,0,,686,-0.9047
Alaska,Wrangell-St. Elias  National Park,74518,-0.0621,0,,0,,0,,0,,0,
Colorado,Great Sand Dunes  National Park,527546,0.1911,0,,0,,29376,-0.0153,21867,0.1120,4933,0.1023
Maine,Acadia National Park,3437286,-0.0283,0,,1090,-0.2009,140985,-0.0260,57696,-0.0089,1284,-0.1277
West Virginia,New River Gorge  National Park,1195721,-0.0299,0,,0,,5074,0.0415,1032,0.0330,0,
